Code,Name,Longitude,Latitude,Logger,Date,CHL_QA_AVG,NTU_QA_AVG
WHI1,Double Cone Island,148.7217,-20.1049,843,19/04/2021,0.41,1.144
WHI1,Double Cone Island,148.7217,-20.1049,843,20/04/2021,0.474,0.816
WHI1,Double Cone Island,148.7217,-20.1049,843,21/04/2021,0.458,0.778
WHI1,Double Cone Island,148.7217,-20.1049,843,22/04/2021,0.566,0.968
WHI1,Double Cone Island,148.7217,-20.1049,843,23/04/2021,0.625,1.766
WHI1,Double Cone Island,148.7217,-20.1049,843,24/04/2021,0.608,2.54
WHI1,Double Cone Island,148.7217,-20.1049,843,25/04/2021,0.615,3.183
WHI1,Double Cone Island,148.7217,-20.1049,843,26/04/2021,0.607,3.903
WHI1,Double Cone Island,148.7217,-20.1049,843,27/04/2021,0.67,3.854
WHI1,Double Cone Island,148.7217,-20.1049,843,28/04/2021,0.699,4.614
WHI1,Double Cone Island,148.7217,-20.1049,843,29/04/2021,0.76,3.82
WHI1,Double Cone Island,148.7217,-20.1049,843,30/04/2021,0.81,5.149
WHI1,Double Cone Island,148.7217,-20.1049,843,1/05/2021,0.851,4.076
WHI1,Double Cone Island,148.7217,-20.1049,843,2/05/2021,0.869,3.003
WHI1,Double Cone Island,148.7217,-20.1049,843,3/05/2021,0.889,2.554
WHI1,Double Cone Island,148.7217,-20.1049,843,4/05/2021,0.889,1.931
WHI1,Double Cone Island,148.7217,-20.1049,843,5/05/2021,0.882,1.515
WHI1,Double Cone Island,148.7217,-20.1049,843,6/05/2021,0.748,1.361
WHI1,Double Cone Island,148.7217,-20.1049,843,7/05/2021,0.797,1.079
WHI1,Double Cone Island,148.7217,-20.1049,843,8/05/2021,0.737,1.068
WHI1,Double Cone Island,148.7217,-20.1049,843,9/05/2021,0.713,1.089
WHI1,Double Cone Island,148.7217,-20.1049,843,10/05/2021,0.687,1.095
WHI1,Double Cone Island,148.7217,-20.1049,843,11/05/2021,0.642,1.054
WHI1,Double Cone Island,148.7217,-20.1049,843,12/05/2021,0.562,0.998
WHI1,Double Cone Island,148.7217,-20.1049,843,13/05/2021,0.568,0.951
WHI1,Double Cone Island,148.7217,-20.1049,843,14/05/2021,0.602,1.11
WHI1,Double Cone Island,148.7217,-20.1049,843,15/05/2021,0.599,0.927
WHI1,Double Cone Island,148.7217,-20.1049,843,16/05/2021,0.53,1.526
WHI1,Double Cone Island,148.7217,-20.1049,843,17/05/2021,0.478,1.23
WHI1,Double Cone Island,148.7217,-20.1049,843,18/05/2021,0.586,1.41
WHI1,Double Cone Island,148.7217,-20.1049,843,19/05/2021,0.662,1.312
WHI1,Double Cone Island,148.7217,-20.1049,843,20/05/2021,0.699,1
WHI1,Double Cone Island,148.7217,-20.1049,843,21/05/2021,0.702,1.063
WHI1,Double Cone Island,148.7217,-20.1049,843,22/05/2021,0.74,0.938
WHI1,Double Cone Island,148.7217,-20.1049,843,23/05/2021,0.746,0.859
WHI1,Double Cone Island,148.7217,-20.1049,843,24/05/2021,0.716,0.979
